ts_code	name	industry	sector
600516.SH	方大炭素	矿物制品	机械设备高端制造
600519.SH	贵州茅台	白酒	消费食品家电轻工
600521.SH	华海药业	化学制药	医药医疗
600522.SH	中天科技	通信设备	计算机通信互联网
600529.SH	山东药玻	医疗保健	医药医疗
600535.SH	天士力	中成药	医药医疗
600547.SH	山东黄金	黄金	有色金属资源
600549.SH	厦门钨业	小金属	有色金属资源
600563.SH	法拉电子	元器件	半导体电子
600570.SH	恒生电子	软件服务	计算机通信互联网
600580.SH	卧龙电驱	电气设备	新能源电力设备
600584.SH	长电科技	半导体	半导体电子
600585.SH	海螺水泥	水泥	地产建筑建材
600588.SH	用友网络	软件服务	计算机通信互联网
600637.SH	东方明珠	影视音像	综合其他
600655.SH	豫园股份	百货	消费食品家电轻工
600660.SH	福耀玻璃	汽车配件	汽车产业链
600667.SH	太极实业	半导体	半导体电子
600673.SH	东阳光	综合类	综合其他
600674.SH	川投能源	水力发电	新能源电力设备
600690.SH	海尔智家	家用电器	消费食品家电轻工
600699.SH	均胜电子	汽车配件	汽车产业链
600704.SH	物产中大	仓储物流	交通运输物流
600741.SH	华域汽车	汽车配件	汽车产业链
600745.SH	闻泰科技	半导体	半导体电子
600754.SH	锦江酒店	酒店餐饮	交通运输物流
600760.SH	中航沈飞	航空	军工航空航天
600763.SH	通策医疗	医疗保健	医药医疗
600765.SH	中航重机	航空	军工航空航天
600795.SH	国电电力	火力发电	新能源电力设备
600803.SH	新奥股份	供气供热	公用事业环保
600816.SH	建元信托	多元金融	金融
600820.SH	隧道股份	建筑工程	地产建筑建材
600839.SH	四川长虹	家用电器	消费食品家电轻工
600845.SH	宝信软件	软件服务	计算机通信互联网
600859.SH	王府井	百货	消费食品家电轻工
600862.SH	中航高科	航空	军工航空航天
600864.SH	哈投股份	证券	金融
600867.SH	通化东宝	生物制药	医药医疗
600879.SH	航天电子	航空	军工航空航天
600885.SH	宏发股份	电气设备	新能源电力设备
600886.SH	国投电力	水力发电	新能源电力设备
600887.SH	伊利股份	乳制品	消费食品家电轻工
600893.SH	航发动力	航空	军工航空航天
600895.SH	张江高科	园区开发	地产建筑建材
600900.SH	长江电力	水力发电	新能源电力设备
600905.SH	三峡能源	新型电力	新能源电力设备
600938.SH	中国海油	石油开采	有色金属资源
600941.SH	中国移动	电信运营	计算机通信互联网
600988.SH	赤峰黄金	黄金	有色金属资源
600989.SH	宝丰能源	化工原料	化工材料
600998.SH	九州通	医药商业	医药医疗
601000.SH	唐山港	港口	交通运输物流
601006.SH	大秦铁路	铁路	交通运输物流
601012.SH	隆基绿能	电气设备	新能源电力设备
601018.SH	宁波港	港口	交通运输物流
601021.SH	春秋航空	空运	交通运输物流
601058.SH	赛轮轮胎	汽车配件	汽车产业链
601088.SH	中国神华	煤炭开采	有色金属资源
601100.SH	恒立液压	工程机械	机械设备高端制造
601111.SH	中国国航	空运	交通运输物流
601117.SH	中国化学	建筑工程	地产建筑建材
601127.SH	赛力斯	汽车整车	汽车产业链
601155.SH	新城控股	区域地产	地产建筑建材
601166.SH	兴业银行	银行	金融
601168.SH	西部矿业	铜	有色金属资源
601179.SH	中国西电	电气设备	新能源电力设备
601186.SH	中国铁建	建筑工程	地产建筑建材
601211.SH	国泰海通	证券	金融
601216.SH	君正集团	化工原料	化工材料
601225.SH	陕西煤业	煤炭开采	有色金属资源
601233.SH	桐昆股份	化纤	化工材料
601238.SH	广汽集团	汽车整车	汽车产业链
601288.SH	农业银行	银行	金融
601318.SH	中国平安	保险	金融
601319.SH	中国人保	保险	金融
601328.SH	交通银行	银行	金融
601360.SH	三六零	互联网	计算机通信互联网
601390.SH	中国中铁	建筑工程	地产建筑建材
601398.SH	工商银行	银行	金融
601567.SH	三星电气	电气设备	新能源电力设备
601600.SH	中国铝业	铝	有色金属资源
601601.SH	中国太保	保险	金融
601607.SH	上海医药	医药商业	医药医疗
601615.SH	明阳智能	电气设备	新能源电力设备
601618.SH	中国中冶	建筑工程	地产建筑建材
601628.SH	中国人寿	保险	金融
601633.SH	长城汽车	汽车整车	汽车产业链
601658.SH	邮储银行	银行	金融
601668.SH	中国建筑	建筑工程	地产建筑建材
601669.SH	中国电建	建筑工程	地产建筑建材
601677.SH	明泰铝业	铝	有色金属资源
601689.SH	拓普集团	汽车配件	汽车产业链
601727.SH	上海电气	电气设备	新能源电力设备
601728.SH	中国电信	电信运营	计算机通信互联网
601766.SH	中国中车	运输设备	机械设备高端制造
601799.SH	星宇股份	汽车配件	汽车产业链
601800.SH	中国交建	建筑工程	地产建筑建材
601816.SH	京沪高铁	铁路	交通运输物流
601857.SH	中国石油	石油开采	有色金属资源
601866.SH	中远海发	水运	交通运输物流
601868.SH	中国能建	建筑工程	地产建筑建材
601872.SH	招商轮船	水运	交通运输物流
601877.SH	正泰电器	电气设备	新能源电力设备
601880.SH	辽港股份	港口	交通运输物流
601888.SH	中国中免	旅游服务	交通运输物流
601899.SH	紫金矿业	铜	有色金属资源
601919.SH	中远海控	水运	交通运输物流
601966.SH	玲珑轮胎	汽车配件	汽车产业链
