pubtime	pcode	sentiment_score	半导体电子	计算机通信互联网	新能源电力设备	汽车产业链	医药医疗	金融	地产建筑建材	机械设备高端制造	军工航空航天	有色金属资源	化工材料	消费食品家电轻工	交通运输物流	公用事业环保	综合其他
2024-07-11 16:57:00	国函〔2024〕110号	0.636423	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
2024-07-05 16:57:00	国办发〔2024〕34号	0.665549	0.000000	0.000000	0.000000	0.000000	0.000000	0.789474	0.000000	0.000000	0.000000	0.000000	0.017544	0.000000	0.017544	0.000000	0.175439
2024-07-04 16:57:00	国办发〔2024〕33号	0.700166	0.000000	0.000000	0.062500	0.125000	0.000000	0.312500	0.187500	0.000000	0.000000	0.000000	0.000000	0.000000	0.062500	0.000000	0.250000
2024-07-01 16:57:00	国令第784号	0.666296	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
2024-06-29 16:57:00	国令第785号	0.698492	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.878505	0.009346	0.000000	0.000000	0.018692	0.093458
2024-06-14 16:57:00	国办发〔2024〕27号	0.600611	0.000000	0.000000	0.000000	0.000000	0.000000	0.041237	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.958763
2024-06-06 18:57:00	国办发〔2024〕29号	0.679266	0.000000	0.000000	0.000000	0.000000	0.868217	0.093023	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.038760
2024-05-30 18:57:00	国令第782号	0.640053	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2024-05-29 18:57:00	国发〔2024〕12号	0.727207	0.000000	0.010000	0.140000	0.025000	0.000000	0.010000	0.230000	0.000000	0.020000	0.200000	0.040000	0.110000	0.085000	0.085000	0.045000
2024-05-28 18:57:00	国令第781号	0.613917	0.000000	0.000000	0.000000	0.000000	0.000000	0.714286	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.285714
2024-05-10 17:57:00	国函〔2024〕66号	0.669499	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2024-05-09 23:12:00	国办发〔2024〕23号	0.715034	0.000000	0.057971	0.000000	0.000000	0.043478	0.362319	0.028986	0.000000	0.101449	0.028986	0.000000	0.057971	0.275362	0.000000	0.043478
2024-04-26 18:57:00	国令第780号	0.643251	0.000000	0.038462	0.000000	0.000000	0.230769	0.000000	0.000000	0.000000	0.076923	0.000000	0.000000	0.000000	0.615385	0.000000	0.038462
2024-04-12 14:58:00	国发〔2024〕10号	0.664499	0.000000	0.000000	0.000000	0.000000	0.000000	0.942529	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.057471
2024-04-10 15:51:00	国令第779号	0.684316	0.000000	0.000000	0.000000	0.000000	0.000000	0.818182	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.181818
2024-04-02 18:57:00	国办发〔2024〕15号	0.681669	0.000000	0.015385	0.000000	0.000000	0.000000	0.923077	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015385	0.000000	0.046154
2024-03-29 16:57:00	国函〔2024〕43号	0.690011	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2024-03-21 20:55:00	国办发〔2024〕12号	0.662243	0.000000	0.000000	0.000000	0.000000	0.000000	0.310345	0.000000	0.000000	0.275862	0.000000	0.034483	0.000000	0.034483	0.000000	0.344828
2024-03-20 16:55:00	国令第776号	0.654865	0.000000	0.000000	0.000000	0.000000	0.000000	0.107143	0.142857	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.750000
2024-03-19 18:57:00	国令第778号	0.672832	0.000000	0.000000	0.000000	0.000000	0.005952	0.011905	0.000000	0.000000	0.000000	0.000000	0.000000	0.982143	0.000000	0.000000	0.000000
2024-03-19 16:57:00	国办发〔2024〕9号	0.678926	0.025000	0.075000	0.000000	0.000000	0.075000	0.550000	0.000000	0.050000	0.025000	0.000000	0.025000	0.075000	0.025000	0.025000	0.050000
2024-03-15 18:57:00	国令第777号	0.642662	0.000000	0.000000	0.000000	0.000000	0.090909	0.181818	0.000000	0.000000	0.000000	0.181818	0.000000	0.000000	0.000000	0.000000	0.545455
2024-03-13 18:57:00	国发〔2024〕7号	0.707101	0.000000	0.025806	0.096774	0.122581	0.045161	0.051613	0.032258	0.038710	0.058065	0.025806	0.019355	0.316129	0.019355	0.083871	0.064516
2024-02-09 16:55:00	国办发〔2024〕7号	0.707950	0.000000	0.048780	0.158537	0.182927	0.000000	0.024390	0.073171	0.024390	0.012195	0.097561	0.073171	0.048780	0.012195	0.060976	0.182927
2024-02-07 20:55:00	国办发〔2024〕5号	0.640441	0.000000	0.181818	0.000000	0.000000	0.000000	0.000000	0.090909	0.000000	0.090909	0.000000	0.090909	0.000000	0.181818	0.090909	0.272727
2024-02-04 16:57:00	国办函〔2024〕11号	0.780637	0.000000	0.076923	0.000000	0.000000	0.153846	0.115385	0.009615	0.000000	0.125000	0.000000	0.000000	0.000000	0.288462	0.000000	0.230769
2024-02-02 16:57:00	国令第774号	0.635143	0.000000	0.050000	0.000000	0.000000	0.000000	0.150000	0.150000	0.000000	0.000000	0.050000	0.000000	0.000000	0.100000	0.000000	0.500000
2024-01-26 16:57:00	国令第773号	0.665180	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2024-01-25 16:57:00	国令第772号	0.627980	0.000000	0.125000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.062500	0.000000	0.062500	0.000000	0.000000	0.062500	0.687500
2024-01-18 16:57:00	国令第771号	0.725347	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2024-01-12 16:57:00	国函〔2024〕6号	0.661588	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
2024-01-06 16:57:00	国发〔2024〕2号	0.703158	0.000000	0.142857	0.000000	0.000000	0.000000	0.857143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2024-01-05 16:57:00	国令第770号	0.689323	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
